10/19/2015 15:57:58 - 1028	M	507,-1,pay_dun01
10/19/2015 15:57:58 - 1028	M	1201,-1,pay_dun01
10/19/2015 15:57:58 - 1028	M	1216,-1,pay_dun01
10/19/2015 15:58:00 - 1028	M	932,-1,pay_dun01
10/19/2015 15:58:00 - 1028	M	756,-1,pay_dun01
10/19/2015 15:58:00 - 1028	M	1214,-1,pay_dun01
10/19/2015 15:58:00 - 1028	M	507,-1,pay_dun01
10/19/2015 15:58:00 - 1028	M	934,-1,pay_dun01
10/19/2015 15:58:00 - 1028	M	1201,-1,pay_dun01
10/19/2015 15:58:00 - 1028	M	1216,-1,pay_dun01
10/19/2015 15:58:02 - 1016	M	932,-1,pay_dun01
10/19/2015 15:58:02 - 1016	M	756,-1,pay_dun01
10/19/2015 15:58:02 - 1016	M	2285,-1,pay_dun01
10/19/2015 15:58:02 - 1016	M	1708,-1,pay_dun01
10/19/2015 15:58:02 - 1016	M	1752,-1,pay_dun01
10/19/2015 15:58:02 - 1016	M	507,-1,pay_dun01
10/19/2015 15:58:02 - 1016	M	1701,-1,pay_dun01
10/19/2015 15:58:04 - 1028	M	932,-1,pay_dun01
10/19/2015 15:58:04 - 1028	M	756,-1,pay_dun01
10/19/2015 15:58:04 - 1028	M	507,-1,pay_dun01
10/19/2015 15:58:04 - 1028	M	1201,-1,pay_dun01
10/19/2015 15:58:04 - 1028	M	1216,-1,pay_dun01
10/19/2015 15:58:07 - 1028	M	932,-1,pay_dun01
10/19/2015 15:58:07 - 1028	M	756,-1,pay_dun01
10/19/2015 15:58:07 - 1028	M	1214,-1,pay_dun01
10/19/2015 15:58:07 - 1028	M	507,-1,pay_dun01
10/19/2015 15:58:07 - 1028	M	934,-1,pay_dun01
10/19/2015 15:58:07 - 1028	M	1201,-1,pay_dun01
10/19/2015 15:58:07 - 1028	M	1216,-1,pay_dun01
10/19/2015 15:58:11 - 1028	M	932,-1,pay_dun01
10/19/2015 15:58:11 - 1028	M	756,-1,pay_dun01
10/19/2015 15:58:11 - 1028	M	1214,-1,pay_dun01
10/19/2015 15:58:11 - 1028	M	507,-1,pay_dun01
10/19/2015 15:58:11 - 1028	M	934,-1,pay_dun01
10/19/2015 15:58:11 - 1028	M	1201,-1,pay_dun01
10/19/2015 15:58:11 - 1028	M	1216,-1,pay_dun01
10/19/2015 15:58:12 - 1028	M	932,-1,pay_dun01
10/19/2015 15:58:12 - 1028	M	756,-1,pay_dun01
10/19/2015 15:58:12 - 1028	M	1214,-1,pay_dun01
10/19/2015 15:58:12 - 1028	M	507,-1,pay_dun01
10/19/2015 15:58:12 - 1028	M	1201,-1,pay_dun01
10/19/2015 15:58:12 - 1028	M	1216,-1,pay_dun01
10/19/2015 16:00:48 - 1028	M	932,-1,pay_dun01
10/19/2015 16:00:48 - 1028	M	756,-1,pay_dun01
10/19/2015 16:00:48 - 1028	M	507,-1,pay_dun01
10/19/2015 16:00:48 - 1028	M	934,-1,pay_dun01
10/19/2015 16:00:48 - 1028	M	1201,-1,pay_dun01
10/19/2015 16:00:48 - 1028	M	1216,-1,pay_dun01
10/19/2015 16:07:33 - 1774	M	587,-1,ra_san04
10/19/2015 16:07:33 - 1774	M	7340,-1,ra_san04
10/19/2015 16:07:33 - 1774	M	985,-1,ra_san04
10/19/2015 16:07:33 - 1774	M	1061,-1,ra_san04
10/19/2015 16:07:33 - 1774	M	7563,-1,ra_san04
10/19/2015 16:07:57 - 1769	M	7567,-1,ra_san04
10/19/2015 16:07:57 - 1769	M	7563,-1,ra_san04
10/19/2015 16:07:57 - 1769	M	12183,-1,ra_san04
10/19/2015 16:07:57 - 1769	M	7563,-1,ra_san04
10/19/2015 16:07:58 - 1770	M	7567,-1,ra_san04
10/19/2015 16:07:58 - 1770	M	7563,-1,ra_san04
10/19/2015 16:07:58 - 1770	M	5172,-1,ra_san04
10/19/2015 16:07:58 - 1770	M	12183,-1,ra_san04
10/19/2015 16:07:58 - 1770	M	7563,-1,ra_san04
